Trend Age;Trend Temperature;Trend Temperature (long)
95.7;11.85;13.09
95.8;11.79;13.07
95.9;11.73;13.06
96.0;11.73;13.06
96.1;11.83;13.08
96.2;12.02;13.10
96.3;12.26;13.12
96.4;12.50;13.15
96.5;12.77;13.17
96.6;13.16;13.19
96.7;13.64;13.21
96.8;14.09;13.24
96.9;14.41;13.27
97.0;14.52;13.31
97.1;14.48;13.35
97.2;14.41;13.39
97.3;14.35;13.44
97.4;14.28;13.49
97.5;14.15;13.54
97.6;13.94;13.58
97.7;13.69;13.62
97.8;13.41;13.66
97.9;13.20;13.69
98.0;13.08;13.71
98.1;13.02;13.73
98.2;13.01;13.75
98.3;13.06;13.76
98.4;13.15;13.76
98.5;13.35;13.76
98.6;13.63;13.77
98.7;13.90;13.77
98.8;14.09;13.77
98.9;14.14;13.77
99.0;14.06;13.78
99.1;13.91;13.79
99.2;13.74;13.80
99.3;13.65;13.80
99.4;13.71;13.81
99.5;13.90;13.82
99.6;14.17;13.83
99.7;14.47;13.84
99.8;14.63;13.84
99.9;14.56;13.85
100.0;14.24;13.85
100.1;13.98;13.84
100.2;13.78;13.84
100.3;13.69;13.83
100.4;13.72;13.82
100.5;13.75;13.80
100.6;13.74;13.78
100.7;13.67;13.75
100.8;13.54;13.72
100.9;13.39;13.68
101.0;13.30;13.64
101.1;13.30;13.58
101.2;13.39;13.52
101.3;13.54;13.45
101.4;13.71;13.38
101.5;13.86;13.30
101.6;13.95;13.22
101.7;13.96;13.14
101.8;13.90;13.05
101.9;13.72;12.97
102.0;13.44;12.89
102.1;13.17;12.82
102.2;12.94;12.75
102.3;12.78;12.69
102.4;12.64;12.64
102.5;12.46;12.59
102.6;12.21;12.55
102.7;11.88;12.53
102.8;11.56;12.51
102.9;11.32;12.50
103.0;11.18;12.50
103.1;11.18;12.51
103.2;11.28;12.52
103.3;11.39;12.55
103.4;11.51;12.59
103.5;11.61;12.64
103.6;11.73;12.70
103.7;11.96;12.77
103.8;12.29;12.85
103.9;12.71;12.93
104.0;13.14;13.03
104.1;13.54;13.12
104.2;13.88;13.22
104.3;14.11;13.32
104.4;14.25;13.41
104.5;14.30;13.49
104.6;14.28;13.56
104.7;14.22;13.62
104.8;14.20;13.67
104.9;14.25;13.71
105.0;14.40;13.74
105.1;14.58;13.75
105.2;14.73;13.75
105.3;14.80;13.74
105.4;14.81;13.72
105.5;14.80;13.69
105.6;14.77;13.66
105.7;14.68;13.63
105.8;14.12;13.59
105.9;13.43;13.56
106.0;12.73;13.53
106.1;12.17;13.51
106.2;12.12;13.48
106.3;12.13;13.46
106.4;12.22;13.43
106.5;12.36;13.40
106.6;12.52;13.37
106.7;12.64;13.33
106.8;12.69;13.30
106.9;12.70;13.27
107.0;12.75;13.24
107.1;12.89;13.21
107.2;13.14;13.18
107.3;13.44;13.15
107.4;13.73;13.12
107.5;13.93;13.10
107.6;14.02;13.08
107.7;14.09;13.05
107.8;13.76;13.04
107.9;13.35;13.02
108.0;12.88;13.00
